"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration"
"2019_W49";"W49";"2019";"incubation1";"m";"43858";275;1;275;2;36775
"2019_W49";"W49";"2019";"incubation3";"f";"50492";0;0;NA;2;64413
"2019_W49";"W49";"2019";"incubation3";"m";"43858";0;0;NA;1;90250
"2020_101";"101";"2020";"incubation1";"f";"50161";80;3;26,6666666666667;22;3388,04545454545
"2020_101";"101";"2020";"incubation1";"m";"48567";5214;4;1303,5;25;5609,52
"2020_101";"101";"2020";"incubation2";"f";"50161";0;0;NA;6;9177,5
"2020_101";"101";"2020";"incubation2";"m";"48567";539;4;134,75;11;14174,9090909091
"2020_113_10";"113_10";"2020";"incubation1";"f";"56613";0;0;NA;7;19980,1428571429
"2020_113_10";"113_10";"2020";"incubation1";"m";"50135";287;2;143,5;8;10165,375
"2020_113_10";"113_10";"2020";"incubation2";"f";"56613";0;0;NA;3;42473
"2020_113_10";"113_10";"2020";"incubation2";"m";"50135";0;0;NA;3;35307,3333333333
"2020_113_10";"113_10";"2020";"incubation3";"f";"56613";0;0;NA;2;79598
"2020_113_10";"113_10";"2020";"incubation3";"m";"50135";132;1;132;2;38015
"2020_113_1A";"113_1A";"2020";"incubation1";"f";"50244";0;0;NA;1;84807
"2020_113_1A";"113_1A";"2020";"incubation1";"m";"55439";0;0;NA;2;56049,5
"2020_113_1A";"113_1A";"2020";"incubation2";"f";"50244";492;1;492;3;26578,3333333333
"2020_113_1A";"113_1A";"2020";"incubation2";"m";"55439";474;1;474;2;55583,5
"2020_113_41";"113_41";"2020";"incubation1";"f";"44892";1878;9;208,666666666667;17;5346,76470588235
"2020_113_41";"113_41";"2020";"incubation1";"m";"46155";515;3;171,666666666667;11;10046,5454545455
"2020_113_41";"113_41";"2020";"incubation2";"f";"44892";431;2;215,5;2;39948
"2020_113_41";"113_41";"2020";"incubation2";"m";"46155";35709;3;11903;3;18921,3333333333
"2020_113_41";"113_41";"2020";"incubation3";"f";"44892";4493;10;449,3;11;15898,3636363636
"2020_113_41";"113_41";"2020";"incubation3";"m";"46155";0;0;NA;3;16012
"2020_11_58";"11_58";"2020";"incubation1";"f";"55405";0;0;NA;24;3178,54166666667
"2020_11_58";"11_58";"2020";"incubation1";"m";"26937";216;5;43,2;10;12328,1
"2020_11_58";"11_58";"2020";"incubation2";"f";"55405";25;1;25;6;21401,3333333333
"2020_11_58";"11_58";"2020";"incubation2";"m";"26937";15;1;15;3;22633,3333333333
"2020_11_58";"11_58";"2020";"incubation3";"f";"55405";11571;28;413,25;52;923,711538461538
"2020_11_58";"11_58";"2020";"incubation3";"m";"26937";61;2;30,5;3;52147,3333333333
"2020_12_16";"12_16";"2020";"incubation1";"f";"50259";769;4;192,25;9;13754,8888888889
"2020_12_16";"12_16";"2020";"incubation1";"m";"50138";2349;8;293,625;10;8380,5
"2020_12_16";"12_16";"2020";"incubation2";"f";"50259";0;0;NA;2;38853
"2020_12_16";"12_16";"2020";"incubation2";"m";"50138";312;2;156;3;42423,6666666667
"2020_14_24K";"14_24K";"2020";"incubation1";"f";"55445";0;0;NA;3;22725
"2020_14_24K";"14_24K";"2020";"incubation1";"m";"50203";201;1;201;4;31069,5
"2020_14_24K";"14_24K";"2020";"incubation2";"f";"55445";0;0;NA;1;52445
"2020_14_24K";"14_24K";"2020";"incubation2";"m";"50203";0;0;NA;2;69562
"2020_14_6K";"14_6K";"2020";"incubation1";"f";"50154";1315;11;119,545454545455;17;8191,11764705882
"2020_14_6K";"14_6K";"2020";"incubation1";"m";"48518";329;3;109,666666666667;12;6376,33333333333
"2020_14_6K";"14_6K";"2020";"incubation2";"f";"50154";599;4;149,75;7;19076,2857142857
"2020_14_6K";"14_6K";"2020";"incubation2";"m";"48518";17;1;17;3;26478
"2020_14_6K";"14_6K";"2020";"incubation3";"f";"50154";959;7;137;8;21546,5
"2020_14_6K";"14_6K";"2020";"incubation3";"m";"48518";105;1;105;6;10307
"2020_D15_13";"D15_13";"2020";"incubation1";"f";"50033";848;4;212;5;28978,4
"2020_D15_13";"D15_13";"2020";"incubation1";"m";"35945";1731;1;1731;1;36768
"2020_D15_13";"D15_13";"2020";"incubation2";"f";"50033";2437;2;1218,5;3;27657
"2020_D15_13";"D15_13";"2020";"incubation2";"m";"35945";0;0;NA;2;56805,5
"2020_D16_10";"D16_10";"2020";"incubation2";"f";"55418";4;1;4;4;43124,5
"2020_D16_10";"D16_10";"2020";"incubation2";"m";"48559";8;1;8;3;19408,3333333333
"2020_D17_16";"D17_16";"2020";"incubation1";"f";"50165";1347;5;269,4;5;15869,4
"2020_D17_16";"D17_16";"2020";"incubation1";"m";"50172";554;5;110,8;9;11484
"2020_D17_16";"D17_16";"2020";"incubation2";"f";"50165";179;3;59,6666666666667;5;25624,2
"2020_D17_16";"D17_16";"2020";"incubation2";"m";"50172";0;0;NA;2;32141,5
"2020_D17_8";"D17_8";"2020";"incubation1";"f";"50290";165;2;82,5;30;4280,2
"2020_D17_8";"D17_8";"2020";"incubation1";"m";"48597";524;5;104,8;18;4010,66666666667
"2020_D17_8";"D17_8";"2020";"incubation2";"f";"50290";0;0;NA;3;22019
"2020_D17_8";"D17_8";"2020";"incubation2";"m";"48597";50;1;50;3;44590
"2020_D17_8";"D17_8";"2020";"incubation3";"f";"50290";0;0;NA;12;11433,3333333333
"2020_D17_8";"D17_8";"2020";"incubation3";"m";"48597";1729;4;432,25;5;16179,8
"2020_K17_11";"K17_11";"2020";"incubation1";"f";"55682";0;0;NA;2;30609,5
"2020_K17_11";"K17_11";"2020";"incubation1";"m";"46154";5;1;5;3;42037,3333333333
"2020_K17_11";"K17_11";"2020";"incubation2";"f";"55682";0;0;NA;2;51273,5
"2020_K17_11";"K17_11";"2020";"incubation2";"m";"46154";8;1;8;2;41262
"2020_K17_13";"K17_13";"2020";"incubation1";"f";"55406";0;0;NA;16;4515,375
"2020_K17_13";"K17_13";"2020";"incubation1";"m";"50496";257;6;42,8333333333333;15;7203,4
"2020_K17_13";"K17_13";"2020";"incubation2";"f";"55406";0;0;NA;2;33164,5
"2020_K17_13";"K17_13";"2020";"incubation2";"m";"50496";151;2;75,5;5;26250,4
"2020_K17_13";"K17_13";"2020";"incubation3";"f";"55406";0;0;NA;4;23967,25
"2020_K17_13";"K17_13";"2020";"incubation3";"m";"50496";48;1;48;3;33647,6666666667
