"";"season";"session";"nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank"
"67";2020;"incubation2";"11_58";"complete";40;2;20;"11_58_incubation2_20";0,99;195
"68";2020;"incubation2";"12_16";"complete";312;2;156;"12_16_incubation2_20";6,67;118
"69";2020;"incubation2";"14_24K";"complete";0;0;0;"14_24K_incubation2_20";0;208
"70";2020;"incubation2";"14_6K";"failed chick";616;5;123,2;"14_6K_incubation2_20";7,86;106
"71";2020;"incubation2";"D15_13";"complete";2437;2;1218,5;"D15_13_incubation2_20";28,64;34
"72";2020;"incubation2";"D16_10";"complete";12;2;6;"D16_10_incubation2_20";0,3;206
"73";2020;"incubation2";"D17_16";"complete";179;3;59,6666666666667;"D17_16_incubation2_20";3,28;155
"74";2020;"incubation2";"D17_8";"failed chick";100;2;50;"D17_8_incubation2_20";2,38;170
"75";2020;"incubation2";"K17_11";"complete";16;2;8;"K17_11_incubation2_20";0,4;204
"76";2020;"incubation2";"K17_13";"complete";151;2;75,5;"K17_13_incubation2_20";3,5;151
"77";2020;"incubation2";"K19_15";"complete";23;1;23;"K19_15_incubation2_20";0,94;196
"78";2020;"incubation2";"K19_22";"complete";0;0;0;"K19_22_incubation2_20";0;208
"79";2020;"incubation2";"K19_29";"complete";1740;2;870;"K19_29_incubation2_20";23,59;47
"80";2020;"incubation2";"K19_30";"complete";0;0;0;"K19_30_incubation2_20";0;208
"81";2020;"incubation2";"K8";"complete";35;2;17,5;"K8_incubation2_20";0,87;198
"82";2020;"incubation2";"W28N";"complete";0;0;0;"W28N_incubation2_20";0;208
"83";2020;"incubation2";"W39";"complete";25;1;25;"W39_incubation2_20";1,01;192
"84";2020;"incubation2";"W39B";"complete";631;9;70,1111111111111;"W39B_incubation2_20";6,59;119
"85";2020;"incubation2";"W40";"complete";1541;11;140,090909090909;"W40_incubation2_20";12,66;77
"86";2020;"incubation2";"W41J";"complete";8156;11;741,454545454545;"W41J_incubation2_20";34,83;27
"87";2020;"incubation2";"W49";"complete";193;2;96,5;"W49_incubation2_20";4,37;143
"88";2020;"incubation2";"W6";"complete";630;5;126;"W6_incubation2_20";8,01;104
"89";2020;"incubation3";"113_10";"complete";132;1;132;"113_10_incubation3_20";4,77;136
"90";2020;"incubation3";"113_41";"complete";4493;10;449,3;"113_41_incubation3_20";26,01;39
