"Season_Nest";"nest";"season";"ringno";"session";"sx";"NI";"mean_incubation_duration";"Days_to_Hatch";"Incubation_Duration";"Partner_ringno";"Partner_NI";"Partner_Incubation";"t";"NI_plus"
"2025_K16_4";"K16_4";"2025";"58341";"incubation3";"f";0,94;"20635,8";7;30;"57893";"22,9";"11185,5";0,774193548387097;0,95
"2025_K16_4";"K16_4";"2025";"57893";"incubation3";"m";22,9;"11185,5";7;30;"58341";"0,94";"20635,8";0,774193548387097;22,91
"2025_K17_13";"K17_13";"2025";"55406";"incubation1";"f";0;"31781,6666666667";16;30;"50496";"8,25";"19914,25";0,483870967741935;0,01
"2025_K17_13";"K17_13";"2025";"50496";"incubation1";"m";8,25;"19914,25";16;30;"55406";"0";"31781,6666666667";0,483870967741935;8,26
"2025_K17_13";"K17_13";"2025";"55406";"incubation2";"f";0;"62605";7;30;"50496";"2,86";"18595,5";0,774193548387097;0,01
"2025_K17_13";"K17_13";"2025";"50496";"incubation2";"m";2,86;"18595,5";7;30;"55406";"0";"62605";0,774193548387097;2,87
"2025_K19_15_22cmplx";"K19_15_22cmplx";"2025";"48555";"incubation1";"f";0,75;"14771";26;31;"58337";"45,65";"1797,0303030303";0,161290322580645;0,76
"2025_K19_15_22cmplx";"K19_15_22cmplx";"2025";"58337";"incubation1";"m";45,65;"1797,0303030303";26;31;"48555";"0,75";"14771";0,161290322580645;45,66
"2025_K19_15_22cmplx";"K19_15_22cmplx";"2025";"48555";"incubation2";"f";41,19;"37507,75";16;31;"58337";"60,99";"24208";0,483870967741935;41,2
"2025_K19_15_22cmplx";"K19_15_22cmplx";"2025";"58337";"incubation2";"m";60,99;"24208";16;31;"48555";"41,19";"37507,75";0,483870967741935;61
"2025_K19_22";"K19_22";"2025";"55684";"incubation2";"f";8,86;"19089,1428571429";15;30;"58348";"23,01";"9319,85714285714";0,516129032258065;8,87
"2025_K19_22";"K19_22";"2025";"58348";"incubation2";"m";23,01;"9319,85714285714";15;30;"55684";"8,86";"19089,1428571429";0,516129032258065;23,02
"2025_K19_22";"K19_22";"2025";"55684";"incubation3";"f";4,3;"36881";7;30;"58348";"21,87";"16571,8";0,774193548387097;4,31
"2025_K19_22";"K19_22";"2025";"58348";"incubation3";"m";21,87;"16571,8";7;30;"55684";"4,3";"36881";0,774193548387097;21,88
"2025_K19_31";"K19_31";"2025";"57171";"incubation2";"f";64,54;"22243,75";12;28;"57208";"95,61";"15636,4";0,612903225806452;64,55
"2025_K19_31";"K19_31";"2025";"57208";"incubation2";"m";95,61;"15636,4";12;28;"57171";"64,54";"22243,75";0,612903225806452;95,62
"2025_K19_31";"K19_31";"2025";"57171";"incubation3";"f";0;"43604,5";5;28;"57208";"0";"39712,5";0,838709677419355;0,01
"2025_K19_31";"K19_31";"2025";"57208";"incubation3";"m";0;"39712,5";5;28;"57171";"0";"43604,5";0,838709677419355;0,01
"2025_K20_15";"K20_15";"2025";"50493";"incubation1";"f";0;"32472";14;28;"56605";"0,27";"20348,4";0,548387096774194;0,01
"2025_K20_15";"K20_15";"2025";"56605";"incubation1";"m";0,27;"20348,4";14;28;"50493";"0";"32472";0,548387096774194;0,28
"2025_K20_15";"K20_15";"2025";"50493";"incubation2";"f";0,66;"28198,25";5;28;"56605";"0";"22321";0,838709677419355;0,67
"2025_K20_15";"K20_15";"2025";"56605";"incubation2";"m";0;"22321";5;28;"50493";"0,66";"28198,25";0,838709677419355;0,01
"2025_K20_8";"K20_8";"2025";"56615";"incubation2";"f";0;"12575,4";14;29;"60007";"0";"31126,6";0,548387096774194;0,01
"2025_K20_8";"K20_8";"2025";"60007";"incubation2";"m";0;"31126,6";14;29;"56615";"0";"12575,4";0,548387096774194;0,01
"2025_K21_28";"K21_28";"2025";"59958";"incubation2";"f";4,34;"33440,6666666667";14;29;"59952";"0,42";"58774";0,548387096774194;4,35
"2025_K21_28";"K21_28";"2025";"59952";"incubation2";"m";0,42;"58774";14;29;"59958";"4,34";"33440,6666666667";0,548387096774194;0,43
"2025_K21_28";"K21_28";"2025";"59958";"incubation3";"f";0,51;"33150,3333333333";6;29;"59952";"1,22";"40558";0,806451612903226;0,52
"2025_K21_28";"K21_28";"2025";"59952";"incubation3";"m";1,22;"40558";6;29;"59958";"0,51";"33150,3333333333";0,806451612903226;1,23
"2025_K21_36";"K21_36";"2025";"57951";"incubation1";"f";0;"24922,4";14;29;"57863";"2,21";"28559,3333333333";0,548387096774194;0,01
"2025_K21_36";"K21_36";"2025";"57863";"incubation1";"m";2,21;"28559,3333333333";14;29;"57951";"0";"24922,4";0,548387096774194;2,22
"2025_K21_36";"K21_36";"2025";"57951";"incubation2";"f";0;"14216,8333333333";6;29;"57863";"1,45";"18730,2";0,806451612903226;0,01
"2025_K21_36";"K21_36";"2025";"57863";"incubation2";"m";1,45;"18730,2";6;29;"57951";"0";"14216,8333333333";0,806451612903226;1,46
"2025_K22_52";"K22_52";"2025";"60005";"incubation1";"f";0;"32110,6666666667";15;30;"58366";"0";"28689,6666666667";0,516129032258065;0,01
"2025_K22_52";"K22_52";"2025";"58366";"incubation1";"m";0;"28689,6666666667";15;30;"60005";"0";"32110,6666666667";0,516129032258065;0,01
"2025_K22_52";"K22_52";"2025";"60005";"incubation2";"f";0;"27053,3333333333";7;30;"58366";"0,7";"40983,6666666667";0,774193548387097;0,01
"2025_K22_52";"K22_52";"2025";"58366";"incubation2";"m";0,7;"40983,6666666667";7;30;"60005";"0";"27053,3333333333";0,774193548387097;0,71
"2025_K8";"K8";"2025";"55404";"incubation1";"f";2,99;"4973,71428571429";24;29;"44931";"9,41";"17164,2";0,225806451612903;3
"2025_K8";"K8";"2025";"44931";"incubation1";"m";9,41;"17164,2";24;29;"55404";"2,99";"4973,71428571429";0,225806451612903;9,42
"2025_K8";"K8";"2025";"55404";"incubation2";"f";7,35;"6797,53333333333";15;29;"44931";"13,61";"13417,5714285714";0,516129032258065;7,36
"2025_K8";"K8";"2025";"44931";"incubation2";"m";13,61;"13417,5714285714";15;29;"55404";"7,35";"6797,53333333333";0,516129032258065;13,62
"2025_K8";"K8";"2025";"55404";"incubation3";"f";4,73;"39276,3333333333";6;29;"44931";"0";"57675";0,806451612903226;4,74
"2025_K8";"K8";"2025";"44931";"incubation3";"m";0;"57675";6;29;"55404";"4,73";"39276,3333333333";0,806451612903226;0,01
"2025_W20";"W20";"2025";"59949";"incubation2";"f";0;"45306,5";14;29;"55422";"3,44";"26199,5";0,548387096774194;0,01
"2025_W20";"W20";"2025";"55422";"incubation2";"m";3,44;"26199,5";14;29;"59949";"0";"45306,5";0,548387096774194;3,45
"2025_W20";"W20";"2025";"59949";"incubation3";"f";0;"74908";6;29;"55422";"3,69";"34426";0,806451612903226;0,01
"2025_W20";"W20";"2025";"55422";"incubation3";"m";3,69;"34426";6;29;"59949";"0";"74908";0,806451612903226;3,7
"2025_W28N";"W28N";"2025";"26953";"incubation1";"f";0;"43992,3333333333";14;28;"59897";"0";"35073,5";0,548387096774194;0,01
"2025_W28N";"W28N";"2025";"59897";"incubation1";"m";0;"35073,5";14;28;"26953";"0";"43992,3333333333";0,548387096774194;0,01
"2025_W28N";"W28N";"2025";"26953";"incubation2";"f";0;"30049";5;28;"59897";"0";"45212";0,838709677419355;0,01
"2025_W28N";"W28N";"2025";"59897";"incubation2";"m";0;"45212";5;28;"26953";"0";"30049";0,838709677419355;0,01
"2025_W38A";"W38A";"2025";"46025";"incubation1";"f";0;"5747,26666666667";16;30;"59956";"3,64";"26925";0,483870967741935;0,01
"2025_W38A";"W38A";"2025";"59956";"incubation1";"m";3,64;"26925";16;30;"46025";"0";"5747,26666666667";0,483870967741935;3,65
"2025_W38A";"W38A";"2025";"46025";"incubation2";"f";0;"94195";7;30;"59956";"0";"42600";0,774193548387097;0,01
"2025_W38A";"W38A";"2025";"59956";"incubation2";"m";0;"42600";7;30;"46025";"0";"94195";0,774193548387097;0,01
"2025_W41J";"W41J";"2025";"44955";"incubation2";"f";0;"42112";14;29;"26975";"27,65";"40125,3333333333";0,548387096774194;0,01
"2025_W41J";"W41J";"2025";"26975";"incubation2";"m";27,65;"40125,3333333333";14;29;"44955";"0";"42112";0,548387096774194;27,66
"2025_W41J";"W41J";"2025";"44955";"incubation3";"f";0;"57682";6;29;"26975";"0";"44142";0,806451612903226;0,01
"2025_W41J";"W41J";"2025";"26975";"incubation3";"m";0;"44142";6;29;"44955";"0";"57682";0,806451612903226;0,01
"2025_Y23_1";"Y23_1";"2025";"60010";"incubation1";"f";13,47;"9866,55555555555";24;29;"43812";"13,25";"15683,8";0,225806451612903;13,48
"2025_Y23_1";"Y23_1";"2025";"43812";"incubation1";"m";13,25;"15683,8";24;29;"60010";"13,47";"9866,55555555555";0,225806451612903;13,26
"2025_Y23_1";"Y23_1";"2025";"60010";"incubation3";"f";0;"34106";6;29;"43812";"0,42";"49799";0,806451612903226;0,01
"2025_Y23_1";"Y23_1";"2025";"43812";"incubation3";"m";0,42;"49799";6;29;"60010";"0";"34106";0,806451612903226;0,43
