"season";"session";"nest";"group";"total_both_nest_seconds";"number_of_both_nest_events";"average_both_nest_duration"
"2025";"incubation2";"K22_52";"complete";1370;3;456,666666666667
"2025";"incubation2";"K8";"complete";12777;13;982,846153846154
"2025";"incubation2";"W20";"complete";82;2;41
"2025";"incubation2";"W28N";"complete";610;2;305
"2025";"incubation2";"W38A";"complete";0;0;0
"2025";"incubation2";"W40";"complete";0;0;0
"2025";"incubation2";"W41J";"complete";501;2;250,5
"2025";"incubation3";"101";"complete";296;2;148
"2025";"incubation3";"113_1A";"complete";0;0;0
"2025";"incubation3";"113_41";"complete";168;2;84
"2025";"incubation3";"11_58";"complete";530;2;265
"2025";"incubation3";"A20_1";"complete";907;3;302,333333333333
"2025";"incubation3";"A20_4";"complete";0;0;0
"2025";"incubation3";"D15_11";"complete";402;2;201
"2025";"incubation3";"D15_6";"complete";266;2;133
"2025";"incubation3";"D17_16";"complete";0;0;0
"2025";"incubation3";"D17_8";"complete";468;2;234
"2025";"incubation3";"D21_1";"complete";0;0;0
"2025";"incubation3";"D22_17";"complete";179;2;89,5
"2025";"incubation3";"J24_1";"complete";118;2;59
"2025";"incubation3";"K16_4";"complete";519;2;259,5
"2025";"incubation3";"K19_22";"complete";177;2;88,5
"2025";"incubation3";"K19_31";"complete";863;2;431,5
"2025";"incubation3";"K20_8";"complete";0;0;0
"2025";"incubation3";"K21_28";"complete";0;0;0
"2025";"incubation3";"K21_37";"complete";0;0;0
"2025";"incubation3";"K8";"complete";1509;2;754,5
"2025";"incubation3";"W20";"complete";160;2;80
"2025";"incubation3";"W40";"complete";0;0;0
"2025";"incubation3";"W41J";"complete";0;0;0
"2025";"incubation3";"Y23_1";"complete";44;2;22
