"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration";"uCode";"uName";"NI";"Rank"
"2019_K17_13";"K17_13";2019;"incubation2";"m";50496;0;0;NA;2;41450;"2019_incubation2_K17_13_m";"2019_incubation2_K17_13_m";0;327
"2019_K17_13";"K17_13";2019;"incubation3";"f";55406;0;0;NA;2;74150;"2019_incubation3_K17_13_f";"2019_incubation3_K17_13_f";0;327
"2019_K17_13";"K17_13";2019;"incubation3";"m";50496;50;1;50;2;42675;"2019_incubation3_K17_13_m";"2019_incubation3_K17_13_m";2,21;265
"2019_K17_15";"K17_15";2019;"incubation1";"f";50153;275;3;91,6666666666667;18;6916,16666666667;"2019_incubation1_K17_15_f";"2019_incubation1_K17_15_f";6,73;183
"2019_K17_15";"K17_15";2019;"incubation1";"m";50498;750;7;107,142857142857;11;8145,45454545455;"2019_incubation1_K17_15_m";"2019_incubation1_K17_15_m";12,06;122
"2019_K17_15";"K17_15";2019;"incubation2";"f";50153;0;0;NA;2;34662,5;"2019_incubation2_K17_15_f";"2019_incubation2_K17_15_f";0;327
"2019_K17_15";"K17_15";2019;"incubation2";"m";50498;75;2;37,5;4;27700;"2019_incubation2_K17_15_m";"2019_incubation2_K17_15_m";2,33;263
"2019_K17_15";"K17_15";2019;"incubation3";"f";50153;0;0;NA;5;11205;"2019_incubation3_K17_15_f";"2019_incubation3_K17_15_f";0;327
"2019_K17_15";"K17_15";2019;"incubation3";"m";50498;500;5;100;10;17480;"2019_incubation3_K17_15_m";"2019_incubation3_K17_15_m";9,57;144
"2019_W39";"W39";2019;"incubation2";"f";50152;0;0;NA;2;37400;"2019_incubation2_W39_f";"2019_incubation2_W39_f";0;327
"2019_W39";"W39";2019;"incubation2";"m";46028;25;1;25;5;20425;"2019_incubation2_W39_m";"2019_incubation2_W39_m";1,08;287
"2019_W39B";"W39B";2019;"incubation1";"f";50167;125;4;31,25;15;6825;"2019_incubation1_W39B_f";"2019_incubation1_W39B_f";3,02;255
"2019_W39B";"W39B";2019;"incubation1";"m";50327;1475;9;163,888888888889;28;3109,82142857143;"2019_incubation1_W39B_m";"2019_incubation1_W39B_m";18,11;87
"2019_W39B";"W39B";2019;"incubation2";"f";50167;25;1;25;3;34333,3333333333;"2019_incubation2_W39B_f";"2019_incubation2_W39B_f";1,08;287
"2019_W39B";"W39B";2019;"incubation2";"m";50327;350;1;350;2;42337,5;"2019_incubation2_W39B_m";"2019_incubation2_W39B_m";12,47;116
"2019_W39B";"W39B";2019;"incubation3";"f";50167;225;3;75;3;40966,6666666667;"2019_incubation3_W39B_f";"2019_incubation3_W39B_f";5,65;203
"2019_W39B";"W39B";2019;"incubation3";"m";50327;300;2;150;4;17137,5;"2019_incubation3_W39B_m";"2019_incubation3_W39B_m";8,34;157
"2019_W40";"W40";2019;"incubation1";"f";43817;300;3;100;12;6518,75;"2019_incubation1_W40_f";"2019_incubation1_W40_f";7,25;173
"2019_W40";"W40";2019;"incubation1";"m";41260;1300;12;108,333333333333;26;4050;"2019_incubation1_W40_m";"2019_incubation1_W40_m";15,94;96
"2019_W40";"W40";2019;"incubation2";"f";43817;0;0;NA;5;9675;"2019_incubation2_W40_f";"2019_incubation2_W40_f";0;327
"2019_W40";"W40";2019;"incubation2";"m";41260;0;0;NA;4;39306,25;"2019_incubation2_W40_m";"2019_incubation2_W40_m";0;327
"2019_W40";"W40";2019;"incubation3";"f";43817;75;1;75;6;16512,5;"2019_incubation3_W40_f";"2019_incubation3_W40_f";3,28;245
"2019_W40";"W40";2019;"incubation3";"m";41260;675;5;135;10;7895;"2019_incubation3_W40_m";"2019_incubation3_W40_m";12,03;123
"2019_W41J";"W41J";2019;"incubation1";"f";44955;2625;9;291,666666666667;17;3458,82352941176;"2019_incubation1_W41J_f";"2019_incubation1_W41J_f";25,31;62
"2019_W41J";"W41J";2019;"incubation1";"m";26975;6825;31;220,161290322581;53;2374,52830188679;"2019_incubation1_W41J_m";"2019_incubation1_W41J_m";33,23;41
"2019_W41J";"W41J";2019;"incubation2";"f";44955;675;6;112,5;22;2489,77272727273;"2019_incubation2_W41J_f";"2019_incubation2_W41J_f";11,53;127
"2019_W41J";"W41J";2019;"incubation2";"m";26975;2675;23;116,304347826087;69;2219,20289855072;"2019_incubation2_W41J_m";"2019_incubation2_W41J_m";22,17;73
"2019_W41J";"W41J";2019;"incubation3";"f";44955;0;0;NA;1;77125;"2019_incubation3_W41J_f";"2019_incubation3_W41J_f";0;327
"2019_W41J";"W41J";2019;"incubation3";"m";26975;2775;18;154,166666666667;21;5903,57142857143;"2019_incubation3_W41J_m";"2019_incubation3_W41J_m";23,31;68
"2019_W49";"W49";2019;"incubation1";"f";50492;0;0;NA;2;55875;"2019_incubation1_W49_f";"2019_incubation1_W49_f";0;327
"2019_W49";"W49";2019;"incubation1";"m";43858;275;1;275;2;36775;"2019_incubation1_W49_m";"2019_incubation1_W49_m";10,33;136
"2019_W49";"W49";2019;"incubation3";"f";50492;0;0;NA;2;64413;"2019_incubation3_W49_f";"2019_incubation3_W49_f";0;327
"2019_W49";"W49";2019;"incubation3";"m";43858;0;0;NA;1;90250;"2019_incubation3_W49_m";"2019_incubation3_W49_m";0;327
"2020_101";"101";2020;"incubation1";"f";50161;80;3;26,6666666666667;22;3388,04545454545;"2020_incubation1_101_f";"2020_incubation1_101_f";2,13;270
