"Season";"session";"Nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank";"Lay_day";"Hatch_day";"mean_date";"Julian_Date_point";"Incubation_Duration";"Days_to_Hatch"
"2020";"incubation1";"D15_13";"complete";2579;5;515,8;"D15_13_incubation1_20";22,49;49;NA;195;2020-06-27 07:24:31.5;179;NA;16
"2020";"incubation1";"D16_10";"complete";4283;2;2141,5;"D16_10_incubation1_20";38,13;24;NA;192;2020-06-27 07:05:08.5;179;NA;13
"2020";"incubation1";"D17_16";"complete";1901;10;190,1;"D17_16_incubation1_20";15,08;73;NA;189;2020-06-23 04:13:17;175;NA;14
"2020";"incubation1";"D17_8";"failed chick";689;7;98,4285714285714;"D17_8_incubation1_20";7,67;110;NA;192;2020-06-23 04:46:19.5;175;NA;17
"2020";"incubation1";"K17_11";"complete";10;2;5;"K17_11_incubation1_20";0,25;207;NA;190;2020-06-27 06:58:38;179;NA;11
"2020";"incubation1";"K17_13";"complete";257;6;42,8333333333333;"K17_13_incubation1_20";3,39;154;NA;195;2020-06-23 03:56:06;175;NA;20
"2020";"incubation1";"K19_15";"complete";0;0;0;"K19_15_incubation1_20";0;208;NA;190;2020-06-27 06:56:30.5;179;NA;11
"2020";"incubation1";"K19_22";"complete";60;2;30;"K19_22_incubation1_20";1,46;186;NA;191;2020-06-28 09:11:17;180;NA;11
"2020";"incubation1";"K19_29";"complete";5389;5;1077,8;"K19_29_incubation1_20";34,01;30;NA;199;2020-06-27 07:11:47.5;179;NA;20
"2020";"incubation1";"K19_30";"complete";0;0;0;"K19_30_incubation1_20";0;208;NA;191;2020-06-27 06:51:36;179;NA;12
"2020";"incubation1";"K8";"complete";850;6;141,666666666667;"K8_incubation1_20";9,58;96;NA;192;2020-06-23 04:27:52.5;175;NA;17
"2020";"incubation1";"W28N";"complete";64;2;32;"W28N_incubation1_20";1,56;183;NA;194;2020-06-27 07:19:38.5;179;NA;15
"2020";"incubation1";"W39";"complete";1287;9;143;"W39_incubation1_20";11,68;87;NA;193;2020-06-23 04:53:48;175;NA;18
"2020";"incubation1";"W39B";"complete";6474;25;258,96;"W39B_incubation1_20";26,19;38;NA;200;2020-06-23 03:43:25;175;NA;25
"2020";"incubation1";"W40";"complete";1942;29;66,9655172413793;"W40_incubation1_20";12,28;84;NA;194;2020-06-23 03:16:12.5;175;NA;19
"2020";"incubation1";"W41J";"complete";4229;27;156,62962962963;"W41J_incubation1_20";20,38;54;NA;194;2020-06-23 03:48:27;175;NA;19
"2020";"incubation1";"W49";"complete";0;0;0;"W49_incubation1_20";0;208;NA;191;2020-06-23 04:47:00.5;175;NA;16
"2020";"incubation1";"W6";"complete";1181;22;53,6818181818182;"W6_incubation1_20";8,94;100;NA;191;2020-06-23 03:42:25;175;NA;16
"2020";"incubation2";"101";"complete";539;4;134,75;"101_incubation2_20";7,67;109;NA;191;2020-07-01 01:06:56;183;NA;8
"2020";"incubation2";"113_10";"complete";0;0;0;"113_10_incubation2_20";0;208;NA;194;2020-07-01 19:57:39.5;183;NA;11
"2020";"incubation2";"113_1A";"complete";966;2;483;"113_1A_incubation2_20";16,09;71;NA;193;2020-07-08 12:45:24.5;190;NA;3
"2020";"incubation2";"113_41";"complete";36140;5;7228;"113_41_incubation2_20";70,98;10;NA;192;2020-07-01 00:46:38;183;NA;9
"2020";"incubation2";"11_58";"complete";40;2;20;"11_58_incubation2_20";0,99;195;NA;193;2020-07-01 01:06:45.5;183;NA;10
"2020";"incubation2";"12_16";"complete";312;2;156;"12_16_incubation2_20";6,67;118;NA;191;2020-07-01 19:59:53;183;NA;8
"2020";"incubation2";"14_24K";"complete";0;0;0;"14_24K_incubation2_20";0;208;NA;192;2020-07-05 07:09:06.5;187;NA;5
"2020";"incubation2";"14_6K";"failed chick";616;5;123,2;"14_6K_incubation2_20";7,86;106;NA;192;2020-07-01 00:20:50.5;183;NA;9
"2020";"incubation2";"D15_13";"complete";2437;2;1218,5;"D15_13_incubation2_20";28,64;34;NA;195;2020-07-05 07:15:21.5;187;NA;8
"2020";"incubation2";"D16_10";"complete";12;2;6;"D16_10_incubation2_20";0,3;206;NA;192;2020-07-05 07:06:17;187;NA;5
"2020";"incubation2";"D17_16";"complete";179;3;59,6666666666667;"D17_16_incubation2_20";3,28;155;NA;189;2020-07-01 01:01:47;183;NA;6
"2020";"incubation2";"D17_8";"failed chick";100;2;50;"D17_8_incubation2_20";2,38;170;NA;192;2020-07-01 00:52:58;183;NA;9
"2020";"incubation2";"K17_11";"complete";16;2;8;"K17_11_incubation2_20";0,4;204;NA;190;2020-07-05 06:58:36;187;NA;3
"2020";"incubation2";"K17_13";"complete";151;2;75,5;"K17_13_incubation2_20";3,5;151;NA;195;2020-07-01 00:44:01;183;NA;12
"2020";"incubation2";"K19_15";"complete";23;1;23;"K19_15_incubation2_20";0,94;196;NA;190;2020-07-05 06:47:14;187;NA;3
"2020";"incubation2";"K19_22";"complete";0;0;0;"K19_22_incubation2_20";0;208;NA;191;2020-07-05 06:56:05.5;187;NA;4
"2020";"incubation2";"K19_29";"complete";1740;2;870;"K19_29_incubation2_20";23,59;47;NA;199;2020-07-05 07:05:59;187;NA;12
"2020";"incubation2";"K19_30";"complete";0;0;0;"K19_30_incubation2_20";0;208;NA;191;2020-07-05 06:56:31.5;187;NA;4
"2020";"incubation2";"K8";"complete";35;2;17,5;"K8_incubation2_20";0,87;198;NA;192;2020-07-01 20:06:05.5;183;NA;9
"2020";"incubation2";"W28N";"complete";0;0;0;"W28N_incubation2_20";0;208;NA;194;2020-07-05 06:51:07;187;NA;7
"2020";"incubation2";"W39";"complete";25;1;25;"W39_incubation2_20";1,01;192;NA;193;2020-07-01 00:31:41.5;183;NA;10
"2020";"incubation2";"W39B";"complete";631;9;70,1111111111111;"W39B_incubation2_20";6,59;119;NA;200;2020-07-01 00:28:25;183;NA;17
"2020";"incubation2";"W40";"complete";1541;11;140,090909090909;"W40_incubation2_20";12,66;77;NA;194;2020-07-01 00:24:44.5;183;NA;11
"2020";"incubation2";"W41J";"complete";8156;11;741,454545454545;"W41J_incubation2_20";34,83;27;NA;194;2020-07-01 00:25:21.5;183;NA;11
"2020";"incubation2";"W49";"complete";193;2;96,5;"W49_incubation2_20";4,37;143;NA;191;2020-07-01 01:33:49;183;NA;8
"2020";"incubation2";"W6";"complete";630;5;126;"W6_incubation2_20";8,01;104;NA;191;2020-07-01 01:19:59;183;NA;8
"2020";"incubation3";"113_10";"complete";132;1;132;"113_10_incubation3_20";4,77;136;NA;194;2020-07-08 23:39:32;190;NA;4
"2020";"incubation3";"113_41";"complete";4493;10;449,3;"113_41_incubation3_20";26,01;39;NA;192;2020-07-08 23:30:35.5;190;NA;2
"2020";"incubation3";"11_58";"complete";11717;28;418,464285714286;"11_58_incubation3_20";34,42;28;NA;193;2020-07-09 00:26:46.5;191;NA;2
